NARRATIVE,injury_level
ee getting 92 loader slipped fell landing back,Major
piece draw rock fell struck shoulder neck,Major
ee using hammer miner bit trying knock insert bit lug,Minor
driving shuttle car ee got dust foreign object left eye,Minor
injured employee lifting one end metal h beam employee lifted end beam felt sharp pain groin area employee continued work regular shift without missing work surgery scheduled correct condition,Major
employee bolting 5 right crosscut putting steel tray rib popped piece went right eye wearing safety glass went doctor checked released come back work restriction,Minor
employee cutting zip tie metal line pocket knife knife slipped stabbed left forearm wrist went whitesburg hospital er received 4 stap le,Major
employee riding mantrip went overcast mantrip ran rock rut caused employee hit beam required 6 stitch,Minor
employee getting mantrip felt pain lower back starting missing work,Major
area roof approximately thick 20 foot wide 20 foot long fell 16 inby spad 228,Minor
roof fall last open cross cut entry active section one cross cut inby spad 51 fall 18 wide thick area dangered timber set crib built,Minor
ee cutting belt cord belt knife pulled back said something popped lower back,Major
unintentional roof fall occurred mmv 003 section retreat pillar mining roof fall entrapped continuous miner 4 entry two crosscut inby spad roof fall reported msha phone,Minor
2 break outby feeder pony section refuge employee cutting hose duster utility knife slipped cut right hand requiring stitch,Major
employee filed cumulative trauma claim kentucky labor cabinet department worker claim accident associated claim,Minor
going fan door door started close reached push back scoop rolled catching hand door canopy scoop,Major
ee unloading timber scoop apparently strained groin area,Major
ee using torch remove bar grizzly slipped twisted back,Minor
employee operating double head fletcher side putting 3th bolt coal rib piece draw gave away,Minor
injured stated belt scoop bucket felt pull lower back injured taken tothe hospital injured excuse said return work lightduty week return asked return comment pay attention relea,Major
injured stated pushing brake pedal 10 car strained left knee,Major
ee tripped rock twisted left knee ee continued work took work,Major
employee stated pulling miner cable left arm felt pain pulling cable lower back,Major
employee filed claim black lung benefit department labor office worker compensation notice dated june 19 notice received company july 2 2012 accident associated claim,Minor
pulling feeder cable,Major
ee bent right knee watching miner cable piece draw rock fell roof bolt rib striking top left foot fracturing small toe,Major
unintentional roof fall occurred track entry 30 inby spad 44 measuring approx 10 high 18 wide 40 long affected area supported 4 resin grouted bolt 4 strap roof mat,Minor
stepped miner cable causing fall break ankle,Major
unintentional roof fall discovered main 1 entry break 2 approx area cribbed moved,Minor
employee bolting top 3 heading piece drawrock fell hitting mouth 5 suture required employee returned regular duty restriction,Minor
employee using utility knife cut hole belt cut left hand 3 suture required returned work restriction,Minor
employee dropping mr cathead hanging roof 18 rope hanger unhooking hanger cathead slipped causing hanger flip around hook caught nose resulting laceration requiring stitch,Minor
operator closed drill cab door left hand pinky finger partially severed first knuckle stitch,Major
wind blown belt bin employee picking bin put back place left arm strained,Major
employee attempting move shuttle car cable came contact bare place cable causing receive shock,Major
roof fall occurred 11th crosscut track entry along 4 belt measuring thick area developed approx 2 year ago,Minor
employee transporting waste 777 rock truck load shifted truck came ground back point employee suffered strain back spent overnight hospital,Major
roof fall occurred main return survey 1180,Minor
reoccurance old back injury shoveling belt,Major
pulling belt slipped fell,Major
walking tool car ran metal strap lacerated right ear requiring suture,Minor
employee struck scoop suffered laceration left lower leg required stitch,Major
hoist due taking charge,Minor
roof fall inactive slope,Minor
ee helping hang roof bolter cable got finger cable hanger mashing finger,Major
ee stated aligming 4 belt struck left piece structure aligming consulter adv determined fracture,Major
fall supported roof found weekly exam abandoned area mine fall located 66 break south main 5 6 entry fall measured 20 x 90 x unknown height,Minor
ee pulling set battery lead one battery,Major
employee drilling hole die grinder piece metal flew right eye,Major
hooking cat head power center felt pain lower back become reportabe day,Major
employee lifting 6 felt pain groin,Major
employee walking across section stepped hole causing twist knee first day,Major
roof fall occurred 1st south main 1 entry fall measured 60 x 19 x 7 caused undetected slip mine roof area mined july 2006 supported 6 tension rebar roof bolt,Minor
8 right entry cutting coal possible gas dust ignition occured small orange glow went away immediately observed miner operator injury kettle bottom cut,Minor
employee helping put pin bushing miner 1 unit 9 entry driving right bushing piece bushing broke struck employee neck taken doctor metal taken one stitch put incision,Minor
july 24 mine experienced adverse geological event including fall roof alive working impaired ventilation impeded passage within 6th sub panel east 1st south panel injury involved maha contacted within 15 minute,Minor
employee standing 1 unit feeler 4 entry back 5 entry ram car came feeder 5 entry side dump employee feeder see car coming ram car operator see employee ram car pushed employee resulted fracture leg knee,Major
section belt rail structure became lodged low structure employee carrier man back dolly free belt rail dolly hit belt rail end flew around struck employee left leg knocked injury resulted hairline fracture lower leg,Minor
hoist due stripped coupling,Minor
employee removing old tracking tag hard hat inadvertently cut left thumb,Minor
employee loading hydraulic cylinder car sprained knee right,Major
tramming miner face struck piece draw rock neck shoulder,Major
employee picked miner cable throw road way pain lower back picking roof bolt twisted around put bolt felt pain lower back employee report injury,Major
moving miner cable roadway felt pain lower back,Major
walking beltline stepped across water line stepped straddled watch line pulled muscle back,Major
plastering top stopping plaster fell rubber glove hit right eye lost time,Minor
employee shoveling slope belt felt pain back,Major
employee stated turning around deck shuttle car continuious miner backed bumping car pushing back stated bumped back roof height approx 4 ft want ambulance medical care rode side 3 wheeler,Major
ee recovering 4 water line turtle portal using battery powered scoop water line tied scoop bucket one joint pipe extension back scoop offside pipe got hung canopy post portal causing pipe swing around striking ee face ee sustained fractured nose laceration right eye,Major
employee operating water truck lost control truck overturned accident still investigation victim trapped truck victim pronounced dead scene body transported breathitt county coroner frankfort autopsy,Major
employee walked main came outside drift mouth belt employee bent pick piece chain link wt 20 lb developed sharp pain low back examined said acute muscle strain told follow family saw family taken work mine closed,Major
placing tool backhoe employee right hand outrigger support tool slid fender landing right boom swing pedal causing boom swing right pinning right hand another employee remove tool free break skin hand broke small bone,Major
employee dropped head roof bolter hose boom hit piece drill steel sticking tray drill steel came hit employee mouth chipping two teeth,Minor
roof fall discovered 003 section preshift examination performed fall measured 40 18 8 thickness area supported 5 bolt 8 cable bolt fall covered continuous miner operation,Minor
employee diagnosed carpal tunnel illness wrist particular injury date involved determined illness work related,Minor
roof fall discovered date fall located belt break 13 3 entry fall measured 20 20 8 thickness area previously supported 5 bolt supplemental 8 cable bolt injury incident,Minor
driver going put oil truck bent picked bucket oil hurt back,Major
employee going throw airlock door door sliped hit lower left leg bruise go work,Major
employee stepped piece rock twisted right knee,Major
employee unloading stand ram car belt set got finger mashed two stand injury resulted fracture,Minor
elevator due locked brake,Minor
employee shoveling belt line allegedly hit hand bottom structure stated condition could old injury,Major
injured party beside scoop loading block scoop bucket right hand lying scoop bucket behind stinger operator shut scoop accidently hit lever knee getting scoop scoop bucket came back caught ring finger right hand end finger,Major
mechanic hammering hard bar pin d10 dozer piece pin broke became embedded left thigh,Minor
ee installing roof bolt top piece draw rock fell trs canopy hitting back right knee,Major
employee changed battery put old battery charger raising lid battery slipped hand struck left hand lid frame,Minor
attempting install roof bolt piece draw rock slick sided sharp fell striking employee left hand causing laceration middle finger requiring stitch,Minor
employee traveling haul road fuel equipment going hill something broke transmission employee exited vehicle injured,Major
employee using small pry bar work piece equipment bar slipped struck face near mouth resulting laceration required stitch,Minor
ee continuous miner talking operator noise cutter head making continuous miner right break 4 entry ee operator standing heading continuous miner cutter head running ee struck left eye foreign object,Major
ee setting bit small piece metal struck left hand metal removed stitch used close wound,Minor
injured removing guard head drive pick hammer using slipped hit face,Minor
ee placed 1 impact wrench top step loader hanging hose railing impact wrench fell hit hm left foot right behind hard toe,Major
approx continuous miner operator finishing 3rd lift face 1 entry orange glow detected head miner approx 3ft 4ft head approx size glow basketball size injury resulted,Minor
employee building brattice stacking block beside mandoor recieved laceration right little finger,Minor
roof fall discovered 3k panel 7 entry spad approximate size fall height 6 ft,Minor
injured employee installing belt roller felt pain back injury resulted sprain lower back went physician given full release continued work still experiencing pain went another physician recommended physical therapy began physical therapy,Minor
men fixing get cage noticed distorted hoist rope cage shut inspection repair made,Minor
employee lifted rock way crib going build felt pull stomach resulting hernia rtw hurting end shift work know return work,Major
filing 7001 protest operator investigation feel accident injury occurred claimed employee completing 7001 terminate issued msha original citation 4278698,Minor
employee process building brattice block became dislodged fell striking left middle finger resulted 4 double stitch,Minor
operation hoist interupted 30 minute due thunderstorm caused fuse blow hoist electrical system,Minor
injured employee hanging piece curtain prop fell struck hand resulting laceration,Minor
ee using hammer bust piece rock top continuous miner piece rock flew striking ee groin area,Major
employee fell ladder hanging curtain,Major
employee placing piece structure bucket stood felt sharp pain chest,Major
cumulative trauma,Minor
roof fall occurred 3 entry adjacent 2 entry 14 beltline inby spad 2513 break256 fall partially blocked 3 intake main travel way 001 section main intake 001 section impede ventilation fall approx 6 h x 18 60 see attached map,Minor
ee working old slide hollow dirt slid ee okay,Major
employee installing roof bolt bolt hole hit rotation instead pressure fracturing left wrist,Major
valve stem hung tire tried pry slate bar came slate bar tire weight fell across foot,Major
employee using utility knife cut conveyor belt knife slipped cut right leg consulted doctor received 2 stitch lose time work,Minor
ee changing oil excavator latching hood stepped oil foot slipped underneath causing fall approx 7 ee landed foot however result injury left knee,Major
trying knock bearing axel hammer punch piece metal chipped went left arm wrist make incision remove metal,Minor
employee cleaning coal small loader coal pit broke causing small loader land side,Major
unintentional roof fall occurrred mine 6 entry intake intersection spad 275 50 adjacent 1 main line belt line fall approximately 30 long 25 wide 10 12 thick roof shale gave way 4 fully grouted rod initial support,Minor
loose brake car battery connection set hoist brake car,Major
employee getting super steer slipped fell causing twist left knee,Major
rock fall discovered 3 left 3 left bleeder fall measured approximately 20 wide x 60 long x 4 thick,Minor
employee loading roof bolting machine 4 strap got tangled broke loose sliding forearm,Minor
employee hit left thumb hammer trying hit cap wedge install timber injury required stitch,Minor
mack tandem axle lube truck descending grade active work area mine operator lost control truck either jumped thrown vehicle truck struck embankment overturned left side resulting fatal crushing injury victim pronounced dead scene coroner,Major
standing roof bolter waiting operator move bolter piece draw rock slid canopy flipped onto employee ankle foot,Major
ee operates roof bolter hand got caught canopy came simply hand wrong place wrong time knew mashed thumb much broke two three week,Major
employee unloading head drive boom boom flipped upward mashing finger top,Minor
ee maiking belt splice clamp holding belt came loose struck face mouth resulting stitch inside outside mouth chipped tooth loose tooth,Minor
roof fall occurred survey station 2751 entry,Minor
roof fall occurred 8 main 1 entry brk 15 size fall approx 20 w x 20 l x h equipment effected ventilation effected,Minor
roof fall occurred transition main break 33 1 entry intersection 2 entry area crib heimans beam installed 16 rope bolt installed prevent future fall,Minor
employee loading structure scoop bucket alleged hurt right shoulder neck chest employee placed light duty,Major
fly rock incident happened mine injury occurred property damage incident still investigated state kentucky msha,Minor
employee attempting install piece expanded metal chute breaker create walkway metal slipped attempted catch put weight right foot caused injury,Major
employee mounted 992 loader start engine dismounting last step slipped fell snow ice covered ground injuring head,Minor
process greasing truck walking around truck stepped rock twisted knee,Major
ee stated process loading new scoop door onto 4 wheeler end track loading scoop door ee felt pain lower back,Major
employee driving rock truck raised bed dump truck jerked twisted back started missing work,Major
foreman attempting move track beam uninstalled roadway track slid another track beam caught index finger two beam received four stitch pinch,Minor
outby spad roof fall 1 entry return approximately 4800 surface fall 25 long 18 wide high effect air way effect travelway,Minor
employee working construction overcast part wall fell causing constructed portion overcast fall injuring employee left knee employee diagnosed torn meniscus became lost time accident time,Major
roof fall occurred east main intersection crosscut 23 2 entry measuring approximately 25ft long x 18ft wide x 8ft high area supported square crib 4ft fully grouted roof bolt 8ft cable bolt,Minor
rock fall occurred 6 entry 2nd north panel measuring 25ft long x 18ft wide x 8ft thick fall cribbed around,Minor
roof fall occurred 11 seam supply road xc 45 1st ne main fall measured approximately 120 l x 19 w x 12 h fall reported msha hotline,Minor
injured party working 35 crosscut number 2 belt attempting throw wooden pallet across belt felt pop back completed shift returned work completed shift employee called stated pain going see doctor,Major
received hearing loss diagnosis employee termed longer employed company accident date accommodate online reporting per msha denver instruction,Minor
area roof fall occupied transition zone shale roof turning sandstone supported fell supplemental support fall belt line developed 3 year prior fall damage beltline approx 30 foot,Minor
992d loader loading rock truck pit area loader wheel went soft spot pit causing bucket hit bed rock truck jerking operator causing sore back,Major
employee making cable splice shuttle car knife slipped cut top middle finger left hand,Minor
process placing bolt pot bumped rotation burr bolt caught glove resulting two facture finger left hand,Major
workman standing 7 head drive pulling motor lead lost footing fell h beam head drive strained right shoulder lower back,Major
employee bent pick uo miner cable felt pop lower back,Major
employee state riding mantrip unit hit bump jarring employee lower back,Major
employee driving volvo a40f truck hit hole jerked steering wheel hurting lower back right leg,Major
ee individual subcontracted energy perform welding work ee performing welding work energy begley 1 jobsite working experienced fatal blunt force trauma head direct witness accident accident currently investigation,Major
ee assisting repair placing rib rail joy miner,Major
employee connecting mack truck lowboy trailer truck rolled backwards pinning lowboy trailer fractured right leg,Major
dumping material stockpile material caught truck sunk one side causing driver impact side door shoulder,Major
employee assisting set crane dragline standing track helping guide main hoist position order put gantry place cable attached gantry pulled causing gantry tip fall part gantry hit leg resulting gross contusion sprained rt foot,Minor
scaffold lug failed southeast quadrant vessel caused insufficient weld scaffold lug,Minor
stooped measure shaft ee stood turned felt sharp pain back area ee placed restriction,Major
employee tightening snubber block end 101 gantry boom using air impact gun tighten 6 bolt snubber block close line attempting pull slack air line felt sharp pain back went medical treatment continued experience back pain determined restrictive duty,Major
employee state rolling blind flange front 13 press felt pain lower back,Major
employee opening condensate valve hot water splashed valve located back process heater,Major
grm grinding north door machine shop got foreign body blown left eye flushed medical dept rn seen antibiotic drop prescribed returned work restriction rechecked released another,Minor
sitting john deere gator stopped another john deere gator contacted rear stopped vehicle employee stopped vehicle contiued shift reported incident went treated released,Major
blower motor hoist drive shorted two hoist functioning time,Minor
ee getting ready take boat dredge ee lifted pushed boat bank felt pull back,Major
fire involving volvo fuel truck occurred security guard noted smoke coming heavy equipment parking area immediately attempted contact forman inform fire attempt failed later discovered battery portable radio run another person called foreman engine compartment operator cab engulfed flame,Minor
trying get dredge going employee became overheated boat,Minor
employee putting sock bag house slipped rail straddled one bar 2 x2 wide landed scrotum area,Major
ee drilling hole drill bit broke ee los balance fell hit hand cut needed 1 layer stitch xrayed showed ok,Minor
employee traveling dredge bank transport boat 3 employee outboard motor stalled pulled cord try restart motor motor locked jerked cord back forgot take motor gear diagnosed strain left wrist,Major
dredge victor changing fitting wrench slipped hand jammed bolt fitting jerked hand cutting tip left index finger,Major
employee scraping cement form outdoors snow form caused workpiece slip hand strain left forearm tendonitis diagnosed dr advised 64 year old employee complete 2 week course working regular job care strain forearm treatment completed employee returned full duty,Major
ee loader operator moving steel descent loader ee stubbed heel steel ground next loader falling backward left arm extended begind felt pain left shoulder,Major
employee walking crusher stepped onto large rock fell rock ee witnessed fall,Major
employee lifting piece steel steel rack another employee needed pick end steel little get lip end steel rack felt pain left arm,Minor
ee working jaw crusher prospect putting cover crusher bolt cover hit index finger right hand ee pulled hand back towards pain caused cover take skin finger middle finger tip,Major
flipped rock landed finger,Major
employee using 12 air lance overhead clear stone feeder material broke loose causing employee arm involuntarily strike left chest straining left shoulder neck strained left shoulder,Major
two employee carrying bearing employee lost balance fell handrail felt pain back,Major
blaster coming office step quarry office slipped raining step wet starting falling tried catch grabbed railing felt something pop arm,Major
ee suffered bruised left hand attempting remove ice frame conveyor,Major
swinging piece grating right left put place left 5th digit pinched employee tried put confirmed fx 5th digit rx given pain,Minor
released pin jib crane setup ready jib began roll ee jumped clearjumping fender concrete 8 ee landed upright foot,Major
injured ee troubleshooting leaking valve leaned tighten knuckle dust leaking valve entered right eye,Minor
injured ee using vacuum truck clean raw mill large stone stuck end 4 hose tried dislodge stone right hand stone moved suction pulled arm hose armpit causing contusion,Major
injured employee working extremely cold weather dusty condition several day working airslides developed eczema contact dermatitis around eye,Minor
injured employee put hand air operated valve clean material valve local control locked valve closed left wrist causing possible nerve injury employee recieved disciplinary action locking system prior working,Major
employee stepping first rung ladder foot slipped employee felt pain left knee employee required surgery repair torn meniscus,Major
bent lift bar mill door felt pull lower back,Major
walking around number 10 number 11 belt plant 2 felt pain hiw lower back,Major
employee rushing thru scalehouse slipped fell due wet spot floor,Minor
employee operating farm tractor piece debris flew eye went er eye thoroughly cleaned small cut eyelid required prescription antibiotic lost time,Minor
injured rockdusting stepped piece belt covered mud slipped fell causing fracture rib left side,Major
person helping construct roadway bridge section several others putting 3 x 8 plank stringer injured using 12lbsledge hammer drive nail bridge board felt pain center lower back,Major
ee helping make belt splice 1 person using hammer drive multirivet driver theother person moving rivet driver inj personreached move rivet driver person swung hammer struck right index finger could get hand way causing injury,Minor
injured person using hammer chisel remove race gear headgate ranging arm steel fragment came gear imbedded side left hand person went doctor fragment removed,Minor
blaster preparing lay shot bench examining bench went back bench began placing reference marker along crest face order later profile face section bench approx 4 x 5 slid away ee landed foot first muck pile fracturing heel climbed summoned help hospita,Major
window foggy wiped window rag still able see stood look top cab hatch came hit top head,Major
person changing screen deck refuse screen 2nd floor plant person stood struck head pipe located screen jamming neck person went chiropracto r company notified person received treatment,Minor
roof fall occurred 117 block along 4 belt 2 entry fall approximately 8 wide 25 long 7 high fall one block inbyspad 2168,Minor
putting waterline together two pc came together cut finger,Major
instaling counter weight cone crusher foot slipped causing employee hit right shoulder steel frame,Major
employee using john deere 350 excavator load dirt hit hard spot ground caused machine raise back side material broke loose machine fell back ground hard,Major
ee alleges cutting piece tubing wheel blade got pinched piece steel moved moved grabbed steel blade went across left thumbnail side thumb cutting,Minor
employee advancing discharge line face pump pulling twisted wrong pulled back place employee continued work reported accident sought medical attention,Major
employee dust go left eye wind employee safety glass,Minor
employee trying bend piece round steel rolled work table landed left foot employee treated doctor diagnosed contusion placed modified duty seen orthopedic doctor orthopedic doctor placed modified duty patient feel able,Major
pushing curb line roller day got home showered began feeling pain lower back,Major
employee heat exchange kiln 4 attempting remove bellow heat exchange tube using air hammer one 30 tube loosened tube seat fell striking left thumb holding air hammer received several stitch local hospital given medication,Minor
employee digging stripping shot bucket hit large boulder covered smaller stone caused loader come complete stop employee upper body went forward backward causing whiplash type injury neck seatbelt worn continued work full duty seen doctor placed restricted duty,Major
ee attempting move full pallet hadcome sideways moving conveyor stood conveyor another employee floor level pry bar employee th e conveyor flagged photo eye freeing pallet conveyor started automatically pulling foot opening betweenthe conveyor roller,Major
crushed right thumb grizzly frame putting side wear plate,Minor
ee stripping wire using utility knife cutting toward body instead away knife slipped causing laceration left thumb,Minor
employee repairing mack truck cut finger wire tie,Minor
employee using magnetic drill snaged spun around hit left forearm drill attached safety strap went home went dr return work duty dr released,Major
plant super unloading equipment crane site piece ice fell crane boom striking top head causing puncture wound top rear head,Minor
ee got job site belt 4 belt 5 became faint ambulance called ee transported hospital area tested carbon monoxide none registered 6 ee working area un affected contest injury work related believe car tested,Major
crushed finger coal merrick level air lance,Major
ee two incident stomach muscle strain shoveling need small surgical repair done herniated muscle,Minor
ee tack welding wearing welder jacket glove slag fell sleeve ee shirt polyester lining caught fire 1st 2nd forearm,Minor
walking downstairs carrying small steel plate missed last step fell onto grating split left knee open requiring 14 stitch,Major
employee walking outside staircase slipped ice bottom staircase go way caught right knee twisted causing injury pain,Major
ee cutting bed liner haul truck sitting position moved felt pain left knee went doctor pain knew nothing abo ut injury day,Major
lubrication wire installed electrical conduit employee slipped front electrical pull box reached left hand grabbed edge box caused laceration hand resulting 7 stitch surgical repair tendon root cause wearing required glove standing slippery wet surface use improper wire guard box,Major
employee strained back shoveling cement dustand putting chute,Major
cleaning drill press shop employee removing spiral shaped shaving pulled sharp shaving received cut forrefinger right hand employee wearing glove,Minor
ee removing debris cement block building strained back,Major
ee operating drill rig wanted check level heat coming vent system cab heater blowing warm air reached feel air coming heater duct finger contacted squirrel type fan fan cut three finger left hand near end index finger nicked two required 12 stitch,Major
injured another ee carrying steel strap band saw noticed pain back,Major
inj driving 150ton cat trk hit pothole road caused back hurt slightly next back hurt hew sent injury became lost time,Major
operator drove dozer stockpile dozer jarred back fell three foot high ledge dozer operator went doctor started therapy,Minor
repairman working millwright installing skirtboard millwright finished cutting steel angle cutting torch turned lit torch passed repairman arm causing burn,Minor
employee lifting 20 lb steel access door chute felt sharp pain lower back working restriction unable accommodate restriction work due injury,Major
injured ee removing decorative rock front office putting rock bucket loader lost grip rock rock smashed left index finger,Minor
cutting hose employee lacerated upper right leg,Minor
ee closing door grader got finger caught door door frame evaluated suture required,Minor
employee alleges right shoulder pain turning production truck steering wheel evaluated physician prescribed sling work restriction employee unable work time due restriction,Major
employee walking east conveyor tube passing access door leading transfer tower 2 building hit head pipe hard hat knocked neck pain evaluated physical therapy started,Minor
ee finished placing air horn hot spot unit 2 cooler moving airhose walkway felt dirt enter rt eye evaluated medic ation ordered,Minor
employee picking seal wear plate received laceration ring finger sharp edge plate received 3 suture,Major
operating loader uneven ground,Major
lifting gate weight placement onto edge screen employee felt pull lower back,Minor
stripping east quarry cedar tree came bank onto loader across bucket windshield effort remove tree loader without damaging windshield employee climbed top loader bucket tried move tree moved knocked employee ground back head struck ground,Major
employee walked around train shovel spillage stepped oil slipped fell reported day however go doctor july 26 prescribed physical therapy,Minor
employee operating cat 990 loader clean around railbed backing looking backward ran uneven ground jostled claim heard pop lower back pain followed note incident first reported case management informed visit physical therapist,Minor
installing belly pan main feed chute finger caught pan chute fractured finger tip,Minor
msha screening program pneumoconiosis discovered determined related chronic asbestosis exposure,Minor
employee allegedly lifting battery back service truck reported bilateral middle finger pain employee evaluated physican issued left fourth digit finger splint,Minor
ee prying shell liner primary mill line prying felt pain left forearm continued work went prescribed physic al therapy,Minor
injured got foreign body ey received antibiotic conjuctivitis,Minor
employee experiencing pain numbness wrist claim reviewed accepted comp surgery performed,Minor
loosening employee felt pop right wrist evaluated healthcare provider given splint released full duty work,Minor
pulling pry bar working plant,Major
cleaning bin victim fell onto move conv belt drawn motor mount causing fractured left hip cut scrape left leg,Major
standing walking 20 drive hopper haul truck pulling onto hopper drove rock shooting tire hitting ee leg r breaking,Major
gate poor condition due vehicle scrapped hand opening gate,Minor
cutting top pail knife slipped cutting right leg,Minor
ee reported injury supervisor went wixom occupational health center diagnosed lateral carpal tunnel put restricted duty time ee state incident started 2 3 year ago waiting corporate safety hr dept see reported earlier date,Minor
employee tripped stair fell straining back employee refused medical treatment time requested medical treatment,Major
employee laying grating conveyor catwalk weld new midrail along conveyor got felt poke left elbow happened reported contractor medical attention required,Minor
carpal tunnel,Minor
heat exhaustion,Minor
mine ops employee leaving rear house drill shutting door behind got small finger left hand pinched door mechanism,Major
injured working concentrator crane box injured task dumping garbage garbage box injured climbing garbage box secured hook chain onto box st epped onto unknown object floor twisted right leg,Major
ee hosing phase 1 basement hose stretched left arm left arm elevated bent pull hold hose felt pop elbow pain went elbow,Major
contractor employee entrapped coarse crusher step 1 2 elevator entrapped ee lakehead constructor entrapped 45 minute u steel employee 468 27 contractor,Minor
ee repairing crusher using grinder got particle eye,Minor
employee hitting excess granite saw block using 10 pound sledge hammer hit hammer granite bounced cutting right side face lip suture placed lost time,Minor
employee vacuuming product bin raised head hit hard hat bottom bin employee felt strain neck employee went clinic returned work employee returned additional chiropractic treatment returning restricted hour,Major
employee reported back pain result suspension seat air compressor functioning full capacity employee woke following day experiencing intensified pain report work received medical attention following day returned work,Major
injured stepped chunk twisted knee became aware medical treatment,Minor
miner hooking chain sump pump struck elbow support beam reported dispensary placed restricted work,Major
miner struck head pipe received chiropractic treatment,Minor
miner cleaning chute stepped back foot went opening grabbed hand rail case accepted occupational,Major
walking along near tail pulley ee slipped ice fell received medical treatment,Major
ee pulling ratchet wrench felt discomfort right shoulder,Minor
employee process moving loaded wheelbarrow experienced pain neck left arm,Major
pulling fire foot bar remove converter 9733 engine recd dr note indicating restriction hand splint,Minor
working locked conveyor belt pellet came chute next ee working turned avoid pellet injured knee,Major
noticed soreness using impact type tool 2 rod mill liner installation pain recurring surgery may diagnosed rcvd,Minor
installing 36 track panel railroad panel lowered ground connected employee used lining pry bar make connection bar left moment panel moved causing bar strike employee hard hat hard hat cut employee head,Minor
ee removing idler stuck holding hand return idler balance fell bracket motion end left middle finger mashed idler frame laceration required 3 stitch,Minor
replacing conveyor routine maintenance ratchet slipped little finger hit conveyor lattice injuring finger,Minor
ee right index finger injured hit hammer holding wrench ee went clinic andit determined finger fractured,Minor
mechanic strapping shovel drive shaft steamed cleaned drive shaft pallet mechanic tripped strap pallet fell concrete floor left shoulder,Major
salaried siting desk office mine service building felt something right eye small spec material removed prescription med ication used,Minor
shoveling rock mud east side line 6 mill feed conveyor scale hard hat fell shoveling bent pick hard hat straightening struck head beam small laceration head,Minor
working 3 apron feeder installing skirt liner raising liner using 2 pony pry bar liner raised 2 bar slipped liner fell caught left ring finger liner flight track pad breaking finger,Major
employee grinding bracket hold line boring bearing 33 production truck spark piece slag landed chest area bounced grinding shield safety glass landed right eye received prescription,Minor
employee truck shop stall took first step diagonal step 994 loader right knee locked bent position went doctor placed restriction,Major
weather blizzard condition wind snow slippery employee slipped loader ladder landing left heel bruised left heel midified duty,Major
loader operator backing away bin rolled victim leg,Major
employee using hand grinder holding brass fitting left hand grinder slipped fitting striking left ring finger three stitch updated tetnus,Minor
working cable cable twisted scratched eye,Minor
ee trying knock bowl liner cone struck small left finger hammer fracturing finger tip,Major
ee left little finger fractured 10 rock rolled finger clearing rock jam crusher jaw date occurrence reveal fracture,Major
control operator observed large swing coal feed system system shut restarted approximately 2 minute later upon reactivating system coal explosion suppression system activated suppression system detected increase pressure activated working designed employee area injury reported incident,Minor
employee caught right ear bolt,Major
employee slipped walking vehicle parked small fleet vehicle area,Major
ee changing wiper 10 conveyer north attaching wiper belt weighted arm arm slipped struck ee mouth hitting teeth teeth broken repaired,Minor
united taconite plant lost power due polarity issue transformer result overhead crane operator stranded crane power restored crane installed emergency evacuation descending unit determined situation require use,Minor
employee reagravated back pulling welding cart,Major
hanging wall girts stepped mud lost footing fell hitting arm column flange,Minor
employee replacing c29 conveyor belt pulling new belt place felt pull lower back lumber back strain,Major
300 section 6 poly pipe towed around left hand turn miner ground standing berm cable tree making turn pipe followed along berm tension pipe began ride berm poly pipe cleared berm tension pipe released pipe hit miner left knee,Major
ee exiting loader missed bottom step already released one hand grip causing lose balance fell ground striking elbow shoulder,Major
hearing loss 30 left ear range 6000 hz,Minor
climbing onto d8 dozer felt pain left knee,Major
employee using hand grinder 4 cutoff wheel cut opening electrical box grinding wheel caught corner broke apart kicked grinder back striking employee left hand base pinky finger causing laceration,Major
tripped boot scraper twisted back,Minor
ee reported hurt right knee approx ee report walking across rocky ground rock broke fell backwards ee said fell twisted right knee hurt time think much went dr check put knee sleeve dr gave cortisone shot lost time working,Major
employee threw metal sheet truck tried adjust lacerated right forearm approx cm received 9 10 suture,Minor
kiln shutdown ee working maintenance repairing precipitator collect screw conveyor placing screw lid floor bounced burr edge lid struck cut right middle finger causing a1 laceration required 4 suture close,Minor
climbing stationary ladder c15 conveyor belt employee struck head 2 overhead piping went climb onto ladder platform saw physician diagnosed strain muscle spasm spine placed light duty,Major
employee using multitool screwdriver adjust door stop office door reaching overhead tightening screw top door suffered back spasm received osteopathic adjustment muscle relaxer,Minor
employee surgery elbow wrist repetitive trauma suffered occupational illness work placed restricted duty effective,Minor
employee acting spotter clinker cooler pit area cement plant dust got right eye eye became irritated swollen saw optometrist several particle removed ee given prescription medication,Minor
ee stated lifting 5 gallon box water place stand chest height soon lefting ee stated discomfort upper left back feel bad en ough go doctor time pain stated continued moved left arm,Major
employee using 18 long pry bar removing ductwork employee complained right pain approximately 30 minute completing task,Major
employee stated running drill press pulling bit back bored hole hung metal piece drilling came loose vice struck wrist,Major
employee said removing port stood raised face shield position dust fell right eye irrigated right eye several time eye became irritated taken er observation,Major
ee washing impactor basement firehose slipped step hit hip step fell,Major
employee climbing onto bobcat knee,Major
employee troubleshooting packing loading pumpman alarm panel panel located electrical enclosure bottom back wall enclosure emplo yee hand knee perform job end job employee complained pain right knee became reportable started miss due surgery,Major
employee stepped ladder remove piece plastic sticking door hopper placed right hand lip framework sliding door pinched door closed,Major
